Asin,UserName,Rating,Subject,ReviewDate,Review
8129137429,Ovn,2.0 out of 5 stars,"







  
  
    The only reason why I bought this was because it was on sale for 50 bucks
  
",Reviewed in India on 7 October 2017,"









  
  
    
  Let's see what I could have spend my bad investment of 50 bucks on that could have had a much better impact on me and India as a whole-1. 50 Parle-Gs. For my man Snoop Dogg2. 50 mini satchels of fair and handsome cream to help me land that coveted job i had been vying for.3. Two bottles of thumbs up to taste the thunder of adventure and grit.4. 50 pulse candies to OD myself on sugary kindness6. Writing generic ""xyz loves abc "" on the money with emoticons and throwing it on the road.2 Stars because I admire the hustle of CB to low ball every competition out.

  
"
8129137429,amz cus,1.0 out of 5 stars,"







  
  
    first this is not a novel
  
",Reviewed in India on 4 May 2018,"









  
  
    
  chetan bagat, i bought this after reading 2states and five point somebody. this book is crap, it have many topics which we daily see on editorial of newspaper. i didnt expect this book would be like this.

  
"
8129137429,Varun Shah,5.0 out of 5 stars,"







  
  
    A weakipedia of what ails us and how to cure ourselves
  
",Reviewed in India on 22 June 2018,"









  
  
    
  . Making India Awesome is an exceptional manual that gives the nation a chance to come together and make our country irrefutably awesome.If you’ve grazed the cover longingly at the bookstore then you’ve made it into the top 4% of the country. That’s right, if you have shown any interest in this book, you can proudly say you are the lucky few to be a “caring objective Indian”.If you aren’t reading this then you might belong to the 16% of Indians who are “caring but aligned”. But if you haven’t even made it that far, then ugh, you are among the not-so-elite 80% “self-focused indifferent Indians”. Look around you to check.Chetan Bhagat – creator of these labels and discoverer of these well-researched statistics – has illustrated this national breakup with an infographic in case those numbers were confusing.

  
"
8129137429,janmejay thakker,2.0 out of 5 stars,"







  
  
    He is a good storyteller but has been left no more than a ...
  
",Reviewed in India on 26 December 2015,"









  
  
    
  He is a good storyteller but has been left no more than a celebrity fever, who wants to be along with them all the times. Now the result is such that he is left with no more than his own written columns to publish as the book. Not a bad idea to make lakhs of bucks huh! Don't know about India but your home will definitely be awesome brother!

  
"
8129137429,Amazon Customer,4.0 out of 5 stars,"







  
  
    Must read book for every teenager
  
",Reviewed in India on 27 January 2020,"









  
  
    
  Very nice book , good compilation and thought provoking in some pages. Eadily connected with audience and many books of this kind are needed for the young generation to know their rights,rules and responsibilities

  
"
8129137429,Rosun,1.0 out of 5 stars,"







  
  
    CB, please stop writing 'Non-Fiction'. Please get back to writing fiction.
  
",Reviewed in India on 30 March 2018,"









  
  
    
  CB, please stop writing 'Non-Fiction'. Please get back to writing fiction.Nonsensical. Not worth your time. Read something else.

  
"
8129137429,AV7,2.0 out of 5 stars,"







  
  
    Not as expected. ""Unchi dukaan, feeka pakwaan"".
  
",Reviewed in India on 20 October 2015,"









  
  
    
  I am not a die hard fan of Mr. Chetan Bhagat. This book attracted me by its title ""Making India Awesome"". But after reading this book, it was not as expected.One star for the price i got this book (48 INR)One/four stars for the content.

  
"
8129137429,shilpi gupta,5.0 out of 5 stars,"







  
  
    good
  
",Reviewed in India on 19 June 2016,"









  
  
    
  This a 5th class student could have written nothing new to read as if m reading a grammar book essays or paragraph writing.still 5star coz its good till 13-25age group readers.

  
"
8129137429,Dinesh,4.0 out of 5 stars,"







  
  
    When i can't sleep i read this
  
",Reviewed in India on 28 November 2018,"









  
  
    
  I am sure this is fine. But i was expecting love story . It's just essay or columns u read in news paper. If u r chetan bhagat fan buy it otherwise not

  
"
8129137429,amruta,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 7 April 2018,"









  
  
    
  Super flop n idiotic book by Chetan bhagat...His standards r drooping

  
"
8129137429,Arvind,5.0 out of 5 stars,"







  
  
    It should be read by every young india
  
",Reviewed in India on 15 August 2019,"









  
  
    
  The best book for guiding young people towards development strategies and idealistic things

  
"
8129137429,Amazon Customer,3.0 out of 5 stars,"







  
  
    Interesting book
  
",Reviewed in India on 14 January 2016,"









  
  
    
  Very good thoughts about betterment of our beloved country.. however i feel.. Narendra Modi and his cabinet are unfairly criticised.. like any other party, as being communal.. and lot of unrealistic expectations from the present govt.. but overall well presented.. i liked it

  
"
8129137429,Shivam Ritu Kapahi,3.0 out of 5 stars,"







  
  
    only for chetan bhagat fans
  
",Reviewed in India on 31 January 2018,"









  
  
    
  will be definitely liked by chetan bhagat readerselse we all know,it is very tough to make india awesome as of 31.01.2018

  
"
8129137429,Rago,3.0 out of 5 stars,"







  
  
    just views on recent affairs of India ""CERTAINLY NOT FOR MATURE READERS""
  
",Reviewed in India on 5 October 2015,"









  
  
    
  The book is compilation of CB's views on recent happenings in India. The author has given some idea on how to think for the formative conservative mind of today's youth. The book is not for the mature read. Very light book, causal read would do. DON'T EXPECT PROFOUND content.

  
"
8129137429,Biprojit Dutta,5.0 out of 5 stars,"







  
  
    Nice book
  
",Reviewed in India on 11 January 2019,"









  
  
    
  Inhibits all the recent issues and as known chetan is loved by every youth so his books are truly fantastic! Also timely delivery by amazon.

  
"
8129137429,satish,3.0 out of 5 stars,"







  
  
    Not so great.
  
",Reviewed in India on 21 February 2018,"









  
  
    
  There is nothing great to read in this book, i can get this type of writing in google also. i feel like a 10th standard student has written essays about many topics.

  
"
8129137429,LIGNESH GANDHI,1.0 out of 5 stars,"







  
  
    Poor quality of Paper
  
",Reviewed in India on 2 February 2016,"









  
  
    
  It seems copy as the pages are very dull and the quality is like fake as available on foot path and railway stations.Very poor quality of pages, really frustrated. I doubt it is from the original publisher.

  
"
8129137429,dinesh pratap,5.0 out of 5 stars,"







  
  
    Good book
  
",Reviewed in India on 12 October 2019,"









  
  
    
  Good book got in good deal

  
"
8129137429,DHRUV RAVAL,2.0 out of 5 stars,"







  
  
    Poor page quality...
  
",Reviewed in India on 13 February 2018,"









  
  
    
  Book is very good but page quality is very poor, if you go to shop to purchase the same book you will find there good quality pages, it seems this is the reason amazon can afford to provide books at so cheap rate....

  
"
